Jan,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1,58,53.2,47,53,49.8,45,93,88.1,81,25,13.9,3,30.2,30.1,30.1,0
2,60,52.8,49,49,47.3,44,96,81.9,60,13,5.5,0,30.2,30.1,30.1,0
3,57,52.3,45,48,45.3,41,89,77.4,64,13,3.6,0,30.3,30.2,30.1,0
4,59,54.1,50,50,46.9,43,86,76.5,64,16,9.1,0,30.4,30.4,30.3,0
5,59,51.5,45,47,43,39,86,73.5,58,21,8.2,0,30.6,30.5,30.4,0
6,58,50.7,44,44,40.8,37,86,69.7,47,14,3.5,0,30.5,30.4,30.3,0
7,56,50.7,42,49,43.7,37,89,77,64,18,7.3,0,30.3,30.2,30.1,0
8,56,53.1,49,48,45.2,43,89,74.8,66,15,9.5,0,30.1,30.1,30.1,0.03
9,55,51.5,47,49,44.5,41,89,77.2,66,28,11.3,0,30.2,30.1,29.9,0
10,56,49.8,41,46,42.3,39,93,76.1,60,16,5.9,0,30.3,30.3,30.2,0.15
11,56,51.3,49,47,44.1,41,90,77.1,62,21,9.7,0,30.3,30.2,30.2,0.01
12,55,50,44,48,41.3,36,89,72.3,59,17,8.4,0,30.2,30.2,30.1,0.02
13,56,51.8,47,48,44.3,42,89,76.3,62,13,7.2,0,30.2,30.2,30.1,0.02
14,56,51.4,44,49,41.3,38,89,69.1,53,18,10.2,0,30.3,30.2,30.1,0.05
15,53,47,41,41,39.3,37,93,75.2,59,14,5.1,0,30.2,30,29.9,0
16,53,48.7,44,45,41.8,40,89,77.4,61,28,11.9,0,30.1,29.9,29.7,0
17,53,47.2,39,43,40,37,93,76.8,59,14,4.2,0,30.3,30.3,30.1,0.72
18,54,49.5,44,44,39.8,38,82,69.4,59,15,7.4,0,30.4,30.3,30.3,0
19,53,49.4,44,44,39.5,36,80,69,55,10,6,0,30.2,30.1,30,0
20,56,51.3,47,46,42.7,40,83,72.8,62,10,4.8,0,30.1,30,30,0
21,58,54.5,52,52,49,44,93,82.2,69,15,9.2,5,30.2,30.1,30.1,0
22,56,53.5,52,52,49.1,45,100,85.4,72,10,4.2,0,30.3,30.2,30.2,0.01
23,57,52.8,48,49,47.6,44,89,82.3,74,5,2.2,0,30.2,30.2,30.1,0
24,62,54,47,53,49.6,45,93,85.2,70,15,7.3,0,30.2,30.2,30.1,0
25,62,56.3,53,55,52.7,51,94,87.9,75,10,4.5,0,30.2,30.1,30.1,0
26,60,56.3,52,54,50.3,45,93,80.7,69,22,11.7,0,30.3,30.2,30.1,0.1
27,60,53.7,49,52,47.4,43,86,79.3,69,14,5.3,0,30.4,30.4,30.3,0.04
28,62,55.1,52,53,49,46,89,79.9,67,15,7.6,0,30.4,30.3,30.3,0
29,60,53.3,47,48,46.7,43,90,78.7,62,20,10.1,0,30.3,30.2,30.2,0.03
30,62,55.6,52,53,51.4,49,93,86.3,72,18,8.5,0,30.3,30.2,30.2,0
31,64,54.1,49,52,49.4,46,97,84.5,60,8,2.6,0,30.3,30.3,30.3,0